name,image,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value
0N1 #7564,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7564.png,Background,Dark Smoke,,Body,Type-01,,Extra,Loop Earring,,Eyes,Squint (Azurite),,Face,Void,,Hair,Spiky (Pearl),,Head,Void,,Mouth,Smile,,Spirit,7,10,Strength,6,10,Style,6,10,Type,B4K3M0-N0,,Wear,Dress (Pearl),
0N1 #7754,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7754.png,Background,Azurite,,Body,Jasper,,Extra,Void,,Eyes,Squint (Jasper),,Face,KULT Mask (Obsidian),,Hair,Bob (Quartz),,Head,Headphones (Rose),,Mouth,Neutral,,Spirit,2,10,Strength,1,10,Style,1,10,Type,Y0K-A1,,Wear,Track Jacket (Obsidian),
0N1 #7708,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7708.png,Background,Technogod,,Body,Pearlescent,,Extra,Dark Aura,,Eyes,Possessed,,Face,VR (Pearl),,Hair,Pompadour (Citrine),,Head,Void,,Mouth,Angry (Oni),,Spirit,9,10,Strength,9,10,Style,9,10,Type,0N1,,Wear,Neon Hood (Emerald),
0N1 #7753,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7753.png,Background,Jasper,,Body,Ash,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Jasper),,Face,KULT Mask (Obsidian),,Hair,Ponytail (Rose),,Head,Headphones (Citrine),,Mouth,Neutral,,Spirit,3,10,Strength,4,10,Style,1,10,Type,Y0K-A1,,Wear,T-Shirt (Obsidian),
0N1 #7758,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7758.png,Background,Dark Smoke,,Body,Ash,,Extra,Void,,Eyes,Half Open (Azurite),,Face,Mempo Mask (Jasper),,Hair,High Ponytail (Obsidian),,Head,Horns (Obsidian),,Mouth,Angry (Oni),,Spirit,10,10,Strength,10,10,Style,8,10,Type,0N1,,Wear,Suit (Pearl),
0N1 #7599,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7599.png,Background,Azurite,,Body,Azurite,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Jasper),,Face,Kitsune Mask (Pearl),,Hair,Bob (Rose),,Head,Headphones (Turquoise),,Mouth,Frown,,Spirit,1,10,Strength,5,10,Style,2,10,Type,Y0K-A1,,Wear,Track Jacket (Citrine),
0N1 #7677,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7677.png,Background,Light Smoke,,Body,Type-01,,Extra,0N1 Logo Pin (White),,Eyes,Angry (Citrine),,Face,Plague Mask (Pearl),,Hair,Fade (Citrine),,Head,Headphones (Obsidian),,Mouth,Smile,,Spirit,6,10,Strength,5,10,Style,8,10,Type,B4K3M0-N0,,Wear,Track Jacket (Azurite),
0N1 #7660,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7660.png,Background,Azurite,,Body,Jasper,,Extra,Void,,Eyes,Squint (Citrine),,Face,T-Goggles,,Hair,Dreads (Obsidian),,Head,Void,,Mouth,Frown,,Spirit,4,10,Strength,5,10,Style,5,10,Type,Y0K-A1,,Wear,Bomber Jacket (Rose),
0N1 #7624,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7624.png,Background,Citrine,,Body,Citrine,,Extra,0N1 Logo Pin (Black),,Eyes,Half Open (Azurite),,Face,Void,,Hair,Fade (Pearl),,Head,Snapback (Obsidian),,Mouth,Frown,,Spirit,1,10,Strength,3,10,Style,2,10,Type,Y0K-A1,,Wear,T-Shirt (Obsidian),
0N1 #7727,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7727.png,Background,Citrine,,Body,Citrine,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Jasper),,Face,PR Mask (Jasper),,Hair,Long (Citirine),,Head,Flat Cap (Obsidian),,Mouth,Frown,,Spirit,4,10,Strength,4,10,Style,2,10,Type,Y0K-A1,,Wear,Kimono (Rose),
0N1 #7768,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7768.png,Background,Jasper,,Body,Citrine,,Extra,Void,,Eyes,Squint (Jasper),,Face,Void,,Hair,Fade (Obsidian),,Head,Snapback (Pearl),,Mouth,Frown,,Spirit,3,10,Strength,2,10,Style,2,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Jasper),
0N1 #7563,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7563.png,Background,Azurite,,Body,Citrine,,Extra,Void,,Eyes,Squint (Azurite),,Face,KULT Mask (Pearl),,Hair,Bob (Rose),,Head,Headphones (Jasper),,Mouth,Frown,,Spirit,4,10,Strength,4,10,Style,4,10,Type,Y0K-A1,,Wear,Track Jacket (Obsidian),
0N1 #7775,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7775.png,Background,Light Smoke,,Body,Type-01,,Extra,0N1 Logo Pin (White),,Eyes,Open (Azurite),,Face,V-Shades,,Hair,Long (Citirine),,Head,Earbuds,,Mouth,Neutral,,Spirit,7,10,Strength,7,10,Style,7,10,Type,B4K3M0-N0,,Wear,Bomber Jacket (Jasper/Obsidian),
0N1 #7707,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7707.png,Background,Dark Smoke,,Body,Type-01,,Extra,0N1 Logo Pin (White),,Eyes,Angry (Jasper),,Face,Kitsune Mask (Pearl),,Hair,Pixie (Rose),,Head,Headphones (Obsidian),,Mouth,Frown,,Spirit,6,10,Strength,5,10,Style,5,10,Type,B4K3M0-N0,,Wear,T-Shirt (Jasper),
0N1 #7752,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7752.png,Background,Azurite,,Body,Azurite,,Extra,Earring (Double),,Eyes,Angry (Citrine),,Face,PR Mask (Citrine),,Hair,Spiky (Citrine),,Head,Pen,,Mouth,Frown,,Spirit,5,10,Strength,3,10,Style,4,10,Type,Y0K-A1,,Wear,Track Jacket (Citrine),
0N1 #7742,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7742.png,Background,Jasper,,Body,Jasper,,Extra,Void,,Eyes,Half Open (Citrine),,Face,Void,,Hair,Fade (Pearl),,Head,Snapback (Obsidian),,Mouth,Neutral,,Spirit,4,10,Strength,3,10,Style,3,10,Type,Y0K-A1,,Wear,T-Shirt (Obsidian),
0N1 #7656,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7656.png,Background,Dark Smoke,,Body,Obsidian,,Extra,Void,,Eyes,Open (Jasper),,Face,Kitsune Mask (Pearl),,Hair,Long (Turquoise),,Head,Headphones (Obsidian),,Mouth,Neutral,,Spirit,7,10,Strength,7,10,Style,6,10,Type,B4K3M0-N0,,Wear,Ninja (Obsidian),
0N1 #7623,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7623.png,Background,Citrine,,Body,Citrine,,Extra,Void,,Eyes,Half Open (Citrine),,Face,Glasses (Obsidian),,Hair,Bald,,Head,Headphones (Jasper),,Mouth,Neutral,,Spirit,5,10,Strength,4,10,Style,4,10,Type,Y0K-A1,,Wear,Bomber Jacket (Rose),
0N1 #7717,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7717.png,Background,Azurite,,Body,Type-01,,Extra,Loop Earring,,Eyes,Angry (Citrine),,Face,Mempo Mask (Obsidian),,Hair,Long (Turquoise),,Head,Fedora (Obsidian),,Mouth,Frown,,Spirit,8,10,Strength,7,10,Style,5,10,Type,B4K3M0-N0,,Wear,Track Jacket (Obsidian),
0N1 #7726,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7726.png,Background,Azurite,,Body,Citrine,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Citrine),,Face,KULT Mask (Pearl),,Hair,Bob (Obsidian),,Head,Void,,Mouth,Smirk,,Spirit,5,10,Strength,4,10,Style,4,10,Type,Y0K-A1,,Wear,Neon Hood (Rose),
0N1 #7767,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7767.png,Background,Azurite,,Body,Citrine,,Extra,Void,,Eyes,Half Open (Jasper),,Face,PR Mask (Citrine),,Hair,Dreads (Bronzite),,Head,Snapback (Obsidian),,Mouth,Neutral,,Spirit,3,10,Strength,1,10,Style,1,10,Type,Y0K-A1,,Wear,Bomber Jacket (Rose),
0N1 #7757,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7757.png,Background,Citrine,,Body,Jasper,,Extra,Earring (Double),,Eyes,Open (Azurite),,Face,Glasses (Obsidian),,Hair,Long (Turquoise),,Head,Snapback (Pearl),,Mouth,Smirk,,Spirit,5,10,Strength,5,10,Style,5,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Jasper),
0N1 #7693,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7693.png,Background,Technogod,,Body,Ash,,Extra,Oni Doll (Jasper),,Eyes,Open (Citrine),,Face,Ra Mask,,Hair,High Ponytail (Pearl),,Head,Antlers (Gold),,Mouth,Angry,,Spirit,9,10,Strength,10,10,Style,10,10,Type,0N1,,Wear,Sleeveless (Citrine),
0N1 #7747,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7747.png,Background,Light Smoke,,Body,Citrine,,Extra,0N1 Logo Pin (Black),,Eyes,Flat,,Face,Void,,Hair,Dreads (Azurite),,Head,Headphones (Obsidian),,Mouth,Smile,,Spirit,7,10,Strength,7,10,Style,7,10,Type,B4K3M0-N0,,Wear,Track Jacket (Obsidian),
0N1 #7774,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7774.png,Background,Citrine,,Body,Citrine,,Extra,0N1 Logo Pin (Black),,Eyes,Half Open (Jasper),,Face,PR Mask (Turqouise),,Hair,Bob (Obsidian),,Head,Headphones (Rose),,Mouth,Neutral,,Spirit,5,10,Strength,2,10,Style,5,10,Type,Y0K-A1,,Wear,Kimono (Rose),
0N1 #7615,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7615.png,Background,Azurite,,Body,Ash,,Extra,0N1 Logo Pin (White),,Eyes,Open (Jasper),,Face,Bandaid,,Hair,Ponytail (Obsidian),,Head,Headphones (Turquoise),,Mouth,Frown,,Spirit,5,10,Strength,5,10,Style,2,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Citrine),
0N1 #7649,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7649.png,Background,Dark Smoke,,Body,Type-01,,Extra,Oni Doll (Azurite),,Eyes,Open (Citrine),,Face,Void,,Hair,Fade (Azurite),,Head,Earbuds,,Mouth,Frown,,Spirit,8,10,Strength,6,10,Style,7,10,Type,B4K3M0-N0,,Wear,Bomber Jacket (Pine),
0N1 #7706,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7706.png,Background,Azurite,,Body,Azurite,,Extra,0N1 Logo Pin (White),,Eyes,Eye Shadow (Jasper),,Face,Glasses (Obsidian),,Hair,Fade (Pearl),,Head,Headphones (Jasper),,Mouth,Smirk,,Spirit,4,10,Strength,2,10,Style,3,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Jasper),
0N1 #7741,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7741.png,Background,Dark Smoke,,Body,Type-01,,Extra,0N1 Logo Pin (Black),,Eyes,Squint (Azurite),,Face,Plague Mask (Obsidian),,Hair,Pixie (Turquoise),,Head,Headphones (Citrine),,Mouth,Neutral,,Spirit,6,10,Strength,6,10,Style,6,10,Type,B4K3M0-N0,,Wear,Kimono (Rose),
0N1 #7751,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7751.png,Background,Dark Smoke,,Body,Citrine,,Extra,Void,,Eyes,Open (Jasper),,Face,Vape,,Hair,Dreads (Azurite),,Head,Headphones (Obsidian),,Mouth,Frown,,Spirit,7,10,Strength,7,10,Style,8,10,Type,B4K3M0-N0,,Wear,Track Jacket (Obsidian),
0N1 #7655,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7655.png,Background,Technogod,,Body,Type-01,,Extra,Void,,Eyes,Hypnotized,,Face,VR (Obsidian),,Hair,Dreads (Azurite),,Head,Crown,,Mouth,uwu,,Spirit,8,10,Strength,9,10,Style,10,10,Type,0N1,,Wear,Yukata (Pearl),
0N1 #7562,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7562.png,Background,Jasper,,Body,Azurite,,Extra,0N1 Logo Pin (White),,Eyes,Open (Citrine),,Face,KULT Mask (Pearl),,Hair,Dreads (Bronzite),,Head,Headphones (Turquoise),,Mouth,Frown,,Spirit,4,10,Strength,4,10,Style,3,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Turquoise),
0N1 #7608,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7608.png,Background,Citrine,,Body,Jasper,,Extra,Void,,Eyes,Open (Jasper),,Face,PR Mask (Turqouise),,Hair,Long (Citirine),,Head,Headphones (Jasper),,Mouth,Smirk,,Spirit,4,10,Strength,5,10,Style,3,10,Type,Y0K-A1,,Wear,Track Jacket (Citrine),
0N1 #7659,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7659.png,Background,Citrine,,Body,Citrine,,Extra,0N1 Logo Pin (Black),,Eyes,Half Open (Jasper),,Face,KULT Mask (Pearl),,Hair,Dreads (Bronzite),,Head,Void,,Mouth,Frown,,Spirit,5,10,Strength,4,10,Style,1,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Citrine),
0N1 #7716,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7716.png,Background,Citrine,,Body,Jasper,,Extra,Earring (Double),,Eyes,Squint (Citrine),,Face,PR Mask (Turqouise),,Hair,Long (Turquoise),,Head,Void,,Mouth,Smirk,,Spirit,3,10,Strength,2,10,Style,1,10,Type,Y0K-A1,,Wear,Bomber Jacket (Rose),
0N1 #7598,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7598.png,Background,Citrine,,Body,Citrine,,Extra,0N1 Logo Pin (White),,Eyes,Squint (Azurite),,Face,Glasses (Obsidian),,Hair,Bob (Obsidian),,Head,Headphones (Pearl),,Mouth,Neutral,,Spirit,3,10,Strength,4,10,Style,2,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Pearl),
0N1 #7676,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7676.png,Background,Azurite,,Body,Jasper,,Extra,Void,,Eyes,Squint (Azurite),,Face,Nose Scar,,Hair,Half-Buzz (Turquoise),,Head,Headphones (Citrine),,Mouth,Smirk,,Spirit,5,10,Strength,2,10,Style,3,10,Type,Y0K-A1,,Wear,Sleeveless (Obsidian),
0N1 #7670,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7670.png,Background,Azurite,,Body,Ash,,Extra,0N1 Logo Pin (White),,Eyes,Eye Shadow (Azurite),,Face,Nose Scar,,Hair,Bob (Obsidian),,Head,Headphones (Jasper),,Mouth,Smirk,,Spirit,3,10,Strength,4,10,Style,5,10,Type,Y0K-A1,,Wear,T-Shirt (Obsidian),
0N1 #7725,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7725.png,Background,Citrine,,Body,Azurite,,Extra,0N1 Logo Pin (White),,Eyes,Squint (Jasper),,Face,KULT Mask (Pearl),,Hair,Bob (Obsidian),,Head,Headphones (Citrine),,Mouth,Smirk,,Spirit,4,10,Strength,5,10,Style,5,10,Type,Y0K-A1,,Wear,Bomber Jacket (Rose),
0N1 #7766,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7766.png,Background,Citrine,,Body,Jasper,,Extra,Void,,Eyes,Open (Azurite),,Face,Bandaid,,Hair,Ponytail (Rose),,Head,Headphones (Jasper),,Mouth,Neutral,,Spirit,3,10,Strength,2,10,Style,5,10,Type,Y0K-A1,,Wear,Track Jacket (Citrine),
0N1 #7746,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7746.png,Background,Azurite,,Body,Jasper,,Extra,0N1 Logo Pin (Black),,Eyes,Angry (Jasper),,Face,Glasses (Obsidian),,Hair,Bob (Rose),,Head,Void,,Mouth,Frown,,Spirit,4,10,Strength,2,10,Style,4,10,Type,Y0K-A1,,Wear,Bomber Jacket (Rose),
0N1 #7773,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7773.png,Background,Azurite,,Body,Jasper,,Extra,Loop Earring,,Eyes,Squint (Jasper),,Face,Glasses (Pearl),,Hair,Long (Turquoise),,Head,Fedora (Obsidian),,Mouth,Neutral,,Spirit,3,10,Strength,2,10,Style,5,10,Type,Y0K-A1,,Wear,Track Jacket (Azurite),
0N1 #7614,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7614.png,Background,Azurite,,Body,Type-01,,Extra,Lucky no. 7 Pin,,Eyes,Half Open (Citrine),,Face,V-Shades,,Hair,Long (Turquoise),,Head,Snapback (Jasper),,Mouth,Angry,,Spirit,8,10,Strength,8,10,Style,7,10,Type,B4K3M0-N0,,Wear,Track Jacket (Obsidian),
0N1 #7740,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7740.png,Background,Azurite,,Body,Citrine,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Citrine),,Face,KULT Mask (Pearl),,Hair,Spiky (Obsidian),,Head,Headphones (Jasper),,Mouth,Frown,,Spirit,3,10,Strength,5,10,Style,3,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Turquoise),
0N1 #7705,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7705.png,Background,Jasper,,Body,Citrine,,Extra,Void,,Eyes,Angry (Jasper),,Face,PR Mask (Citrine),,Hair,Spiky (Obsidian),,Head,Headphones (Citrine),,Mouth,Smirk,,Spirit,1,10,Strength,5,10,Style,5,10,Type,Y0K-A1,,Wear,T-Shirt (Pearl),
0N1 #7735,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7735.png,Background,Jasper,,Body,Azurite,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Citrine),,Face,PR Mask (Turqouise),,Hair,Spiky (Citrine),,Head,Void,,Mouth,Frown,,Spirit,5,10,Strength,5,10,Style,1,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Jasper),
0N1 #7689,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7689.png,Background,Light Smoke,,Body,Obsidian,,Extra,0N1 Logo Pin (Black),,Eyes,Angry (Jasper),,Face,PR Mask (Charcoal),,Hair,Fade (Jasper),,Head,Snapback (Obsidian),,Mouth,Frown,,Spirit,6,10,Strength,8,10,Style,6,10,Type,B4K3M0-N0,,Wear,Thermal Hoodie (Obsidian),
